site,date,AOD
location_6981,2025-01-26,0.3797694
location_6981,2025-01-27,0.33960614
location_6981,2025-01-28,0.8849129
location_6981,2025-01-29,-999.0
location_6981,2025-01-30,-856.0577
location_6981,2025-01-31,-398.44806
location_6981,2025-02-01,-999.0
location_6981,2025-02-02,-999.0
location_6981,2025-02-03,0.53224653
location_6981,2025-02-04,0.29689035
location_6981,2025-02-05,0.4303599
location_6981,2025-02-06,0.5294401
location_6981,2025-02-07,0.20292094
location_6981,2025-02-08,0.24408041
location_6981,2025-02-09,0.24209411
location_6981,2025-02-10,0.2887275
location_6981,2025-02-11,0.5642639
location_6981,2025-02-12,-332.36575
location_6981,2025-02-13,0.8249306
location_6981,2025-02-14,0.27711648
location_6981,2025-02-15,0.2920945
location_6981,2025-02-16,0.38376808
location_6981,2025-02-17,0.5068933
location_6981,2025-02-18,0.72326726
location_6981,2025-02-19,-748.8053
location_6981,2025-02-20,-999.0
location_6981,2025-02-21,0.5325918
location_6981,2025-02-22,-199.039
location_6981,2025-02-23,1.0747907
location_6981,2025-02-24,0.5741734
location_6981,2025-02-25,-665.5545
location_6981,2025-02-26,0.9280961
location_6981,2025-02-27,-165.62106
location_6981,2025-02-28,-332.46924
location_6981,2025-03-01,0.4833993
location_6981,2025-03-02,0.6574772
location_6981,2025-03-03,0.58360416
location_6981,2025-03-04,0.4506046
location_6981,2025-03-05,0.5817713
location_6981,2025-03-06,0.4623245
location_6981,2025-03-07,0.4963533
location_6981,2025-03-08,0.6270171
location_6981,2025-03-09,0.67949945
location_6981,2025-03-10,0.48559737
location_6981,2025-03-11,0.5035126
location_6981,2025-03-12,0.5178175
location_6981,2025-03-13,0.48503065
location_6981,2025-03-14,0.4705092
location_6981,2025-03-15,0.50688285
location_6981,2025-03-16,0.5219963
location_6981,2025-03-17,1.0123485
location_6981,2025-03-18,0.49795
location_6981,2025-03-19,0.69591075
location_6981,2025-03-20,-498.8862
location_6981,2025-03-21,-999.0
location_6981,2025-03-22,-999.0
location_6981,2025-03-23,-165.46983
location_6981,2025-03-24,0.24703932
location_6981,2025-03-25,-499.23944
location_6981,2025-03-26,0.17588083
location_6981,2025-03-27,0.2432116
location_6981,2025-03-28,0.3211074
location_6981,2025-03-29,0.3702606
location_6981,2025-03-30,0.80584735
location_6981,2025-03-31,-165.64581
location_6981,2025-04-01,0.5552858
location_6981,2025-04-02,0.4972187
location_6981,2025-04-03,0.5527583
location_6981,2025-04-04,-999.0
location_6981,2025-04-05,0.4112614
location_6981,2025-04-06,0.5940415
location_6981,2025-04-07,-165.96812
location_6981,2025-04-08,-832.02783
location_6981,2025-04-09,-499.26254
location_6981,2025-04-10,-832.2918
location_6981,2025-04-11,-332.04453
location_6981,2025-04-12,-999.0
location_6981,2025-04-13,0.48326206
location_6981,2025-04-14,-999.0
location_6981,2025-04-15,-165.94333
location_6981,2025-04-16,-999.0
location_6981,2025-04-17,-665.5938
location_6981,2025-04-18,-999.0
location_6981,2025-04-19,-999.0
location_6981,2025-04-20,-999.0
location_6981,2025-04-21,-832.0278
location_6981,2025-04-22,-165.39284
location_6981,2025-04-23,0.31920362
location_6981,2025-04-24,0.7071705
location_6981,2025-04-25,0.85332775
location_6981,2025-04-26,0.63225335
location_6981,2025-04-27,-832.3598
location_6981,2025-04-28,-665.6346
location_6981,2025-04-29,0.49124455
location_6981,2025-04-30,-999.0
location_6981,2025-05-01,-284.58466
location_6981,2025-05-02,-285.36752
location_6981,2025-05-03,-999.0
location_6981,2025-05-04,-856.11005
location_6981,2025-05-05,-855.98694
location_6981,2025-05-06,-999.0
location_6981,2025-05-07,-284.88666
location_6981,2025-05-08,-284.5405
location_6981,2025-05-09,-284.80902
location_6981,2025-05-10,0.7189226
location_6981,2025-05-11,-284.6469
location_6981,2025-05-12,-141.43452
location_6981,2025-05-13,-284.38007
location_6981,2025-05-14,-427.34647
location_6981,2025-05-15,-570.09314
location_6981,2025-05-16,1.7785093
location_6981,2025-05-17,-427.23395
location_6981,2025-05-18,-856.10345
location_6981,2025-05-19,-999.0
location_6981,2025-05-20,-427.40186
location_6981,2025-05-21,-284.02887
location_6981,2025-05-22,-570.3239
location_6981,2025-05-23,-999.0
location_6981,2025-05-24,-999.0
location_6981,2025-05-25,-999.0
location_6981,2025-05-26,-999.0
location_6981,2025-05-27,-999.0
location_6981,2025-05-28,-999.0
location_6981,2025-05-29,-999.0
location_6981,2025-05-30,-999.0
location_6981,2025-05-31,-999.0
location_6981,2025-06-01,-284.48187
location_6981,2025-06-02,1.372418
location_6981,2025-06-03,-799.04675
location_6981,2025-06-04,-999.0
location_6981,2025-06-05,-999.0
location_6981,2025-06-06,-999.0
location_6981,2025-06-07,-856.2341
location_6981,2025-06-08,-856.1916
location_6981,2025-06-09,-999.0
location_6981,2025-06-10,-999.0
location_6981,2025-06-11,-999.0
location_6981,2025-06-12,-999.0
location_6981,2025-06-13,-999.0
location_6981,2025-06-14,-856.1278
location_6981,2025-06-15,-999.0
location_6981,2025-06-16,-999.0
location_6981,2025-06-17,-999.0
location_6981,2025-06-18,-999.0
