date,T2M,RH2M,U2M,V2M,PS,site
2025-02-16,294.73172,44.312576,-0.10174605,-0.39961088,98628.086,location_278671
2025-02-17,294.57724,40.864475,-1.0651811,-0.269079,98916.74,location_278671
2025-02-18,295.38037,42.619175,-0.4743091,0.27892593,98800.99,location_278671
2025-02-19,294.95108,45.765057,-0.7928929,0.18999173,98686.73,location_278671
2025-02-20,294.52878,50.166843,-1.377273,0.7340165,98810.586,location_278671
2025-02-21,295.116,46.62202,0.52987695,-0.39669523,98910.18,location_278671
2025-02-22,293.50418,39.304157,1.2406906,-1.2408894,99068.01,location_278671
2025-02-23,294.02023,42.627003,0.19420816,-0.43173066,99131.945,location_278671
2025-02-24,294.2854,38.45026,0.19082552,-0.35288528,99247.22,location_278671
2025-02-25,293.81015,41.217022,-0.13092963,0.41893026,99332.18,location_278671
2025-02-26,296.1343,37.64228,-0.50001675,0.7100954,99227.18,location_278671
2025-02-27,297.16226,39.040077,-0.35625765,0.88724786,98825.69,location_278671
2025-02-28,297.98904,39.329754,1.1780006,0.40759397,98521.18,location_278671
2025-03-01,297.00668,44.33887,0.2959307,-0.30202267,98582.48,location_278671
2025-03-02,296.11856,47.42041,0.24899566,-1.0015913,98572.81,location_278671
2025-03-03,297.07614,39.399616,0.48813903,0.16378988,98572.41,location_278671
2025-03-04,294.91837,29.676142,2.8120658,-1.9948465,98777.76,location_278671
2025-03-05,291.39862,25.699438,2.5198066,-2.1006525,98824.46,location_278671
2025-03-06,295.12692,19.467106,1.8772217,-0.9000959,98730.87,location_278671
2025-03-07,295.84592,24.395477,1.0973938,-0.25333595,98445.71,location_278671
2025-03-08,296.8377,24.172495,0.007328709,-0.29820147,98418.76,location_278671
2025-03-09,297.07492,28.218863,-1.0830854,0.18454587,98786.02,location_278671
2025-03-10,298.10706,28.026758,-0.9638212,0.6919183,98962.086,location_278671
2025-03-11,300.3215,26.879725,0.6154249,0.62821406,98665.695,location_278671
2025-03-12,301.71933,26.273659,2.0183444,-0.3204989,98251.57,location_278671
2025-03-13,302.07416,27.767181,1.0534861,-0.22781737,98117.19,location_278671
2025-03-14,302.0186,26.31672,0.85085607,-0.08101049,98247.37,location_278671
2025-03-15,302.9398,26.347513,1.2659582,0.51871467,98384.695,location_278671
2025-03-16,301.18332,29.681551,1.3099405,-1.782241,98431.6,location_278671
2025-03-17,299.22552,30.874067,0.41802225,-1.7061917,98634.31,location_278671
2025-03-18,298.2098,25.7563,0.8223894,-1.05841,98650.52,location_278671
2025-03-19,299.49466,19.95834,-0.4229498,-0.80469495,98733.59,location_278671
2025-03-20,300.39737,20.74922,-1.2872063,-0.59071594,98751.28,location_278671
2025-03-21,299.8843,22.019255,-0.17068706,-1.1683123,98723.13,location_278671
2025-03-22,300.2294,23.560564,0.47849557,-0.023838751,98679.086,location_278671
2025-03-23,299.3658,21.38378,-0.57141215,-0.42728516,98832.945,location_278671
2025-03-24,299.82065,18.028671,-0.6838448,0.3789489,98750.71,location_278671
2025-03-25,302.23932,17.496283,0.1580805,0.61811244,98311.16,location_278671
2025-03-26,304.5332,15.642643,1.2192438,0.543763,98109.59,location_278671
2025-03-27,304.31418,21.21924,2.4555368,-1.1779118,98069.1,location_278671
2025-03-28,300.57077,10.711541,2.0869453,-2.162408,98306.63,location_278671
2025-03-29,297.99615,8.914299,1.9510189,-1.478888,98386.19,location_278671
2025-03-30,299.91287,9.623462,1.2444218,-1.2623038,98464.99,location_278671
2025-03-31,300.9097,10.837544,1.0208662,-1.1051993,98403.96,location_278671
2025-04-01,301.73978,12.077613,0.233868,-1.0406946,98390.41,location_278671
2025-04-02,301.61008,17.28679,-0.7835241,0.5311944,98498.555,location_278671
2025-04-03,303.26166,24.36497,0.097621076,0.9363544,98520.51,location_278671
2025-04-04,304.13797,22.095207,1.0643228,-0.14500211,98388.04,location_278671
2025-04-05,304.29114,16.270105,0.8940163,-1.0638409,98226.695,location_278671
2025-04-06,305.16806,17.911024,0.5897715,-0.69995683,98151.336,location_278671
2025-04-07,305.89938,16.523796,-0.8165527,0.023452446,98250.875,location_278671
2025-04-08,305.8029,18.931002,-1.5748242,0.041945923,98400.54,location_278671
2025-04-09,306.22418,23.025145,-1.3467827,0.2029136,98133.34,location_278671
2025-04-10,305.8027,27.450014,-1.8730122,0.68607044,97783.32,location_278671
2025-04-11,305.17117,24.918976,0.16565211,-0.19710122,97743.31,location_278671
2025-04-12,304.27286,24.17888,-0.53516877,-0.81764793,98070.63,location_278671
2025-04-13,304.25745,28.195597,-0.6916504,0.31667346,98230.47,location_278671
